name,PLD,desity(g/cm^3),VSA(m^2/cm^3),GSA(m^2/g),Vp(cm^3/g),void_fraction,C/wt%,H/wt%,N/wt%,F/wt%,total degree of unsaturation,metalic percentage,electronegtive-to-total ratio,weighted electronegativity per atom,target
ALFFIVE_1_Cd,8.08777,0.808037,1655.32,2048.57,0.762762,0.61634,43.93534251,2.949751078,10.24731234,17.3733169,9.5,10,0.191489362,2.516170213,65.64156007
ALFFIVE_1_Co,7.05816,0.842694,1625.35,1928.76,0.687426,0.57929,48.69840922,3.269536025,11.35823192,19.25677251,9.5,10,0.191489362,2.516170213,57.43292072
ALFFIVE_1_Cu,7.23341,0.833833,1613.86,1935.47,0.69803,0.58204,48.24721728,3.239243694,11.25299763,19.07835804,9.5,10,0.191489362,2.556595745,57.61751963
ALFFIVE_1_Fe,7.1592,0.822374,1624.37,1975.22,0.704728,0.57955,49.00518775,3.290132662,11.42978378,19.37808169,9.5,10,0.191489362,2.516170213,58.7273323
ALFFIVE_1_Ni,7.30055,0.834918,1593.76,1908.88,0.680953,0.56854,48.72211439,3.271127553,11.36376082,19.26614622,9.5,10,0.191489362,2.516170213,57.00004484
ALFFIVE_1_Zn,7.41687,0.82243,1631.22,1983.41,0.702443,0.57771,48.07015016,3.227355681,11.21169916,19.00834054,9.5,10,0.191489362,2.551276596,58.83230013
ALFFIVE_13_Cd_i,4.42745,1.18263,800.396,676.795,0.346906,0.41026,40.78103381,2.281646384,23.77903341,13.43834264,22,8.333333333,0.288135593,2.589491525,32.5062809
ALFFIVE_13_Co_i,3.91784,1.21771,135.685,111.426,0.299521,0.36473,44.11882194,2.468391337,25.72526596,14.53822502,22,8.333333333,0.288135593,2.589491525,26.32664748
ALFFIVE_13_Cu_i,3.99975,1.1951,153.156,128.154,0.314652,0.37604,43.80951802,2.45108618,25.54491378,14.43630185,22,8.333333333,0.288135593,2.621694915,29.73461347
ALFFIVE_13_Fe_i,4.09803,1.18212,166.293,140.673,0.314663,0.37197,44.32832585,2.480112811,25.8474257,14.60726165,22,8.333333333,0.288135593,2.589491525,32.07426776
ALFFIVE_13_Ni_i,3.9657,1.20689,142.507,118.077,0.305412,0.3686,44.13503363,2.46929836,25.73471884,14.54356716,22,8.333333333,0.288135593,2.589491525,26.78250947
ALFFIVE_13_Zn_i,4.13203,1.19343,171.974,144.101,0.312227,0.37262,43.68774893,2.444273356,25.47391138,14.39617597,22,8.333333333,0.288135593,2.617457627,30.87062687
ALFFIVE_15_Cd_i,11.13572,0.718134,1714.2,2387.02,0.841514,0.60432,60.4295119,3.042858113,7.047174866,11.94779647,99,5,0.12,2.491466667,67.14401684
ALFFIVE_15_Co_i,10.66941,0.714645,1664.16,2328.66,0.825529,0.58996,64.78730792,3.262289887,7.555372759,12.80939634,99,5,0.12,2.491466667,66.46212228
ALFFIVE_15_Cu_i,10.74755,0.710077,1689.5,2379.32,0.834219,0.59236,64.38678171,3.242121853,7.508664153,12.73020647,99,5,0.12,2.5168,67.06128647
ALFFIVE_15_Fe_i,10.94132,0.708891,1655.81,2335.77,0.826022,0.58556,65.05822118,3.27593141,7.586966148,12.86295985,99,5,0.12,2.491466667,66.19222342
ALFFIVE_15_Ni_i,10.80192,0.722682,1654.03,2288.74,0.806703,0.58299,64.80828247,3.263346036,7.55781877,12.81354332,99,5,0.12,2.491466667,65.29820791
ALFFIVE_15_Zn_i,10.882,0.718934,1660.29,2309.37,0.815067,0.58598,64.22891611,3.234172714,7.490254167,12.69899413,99,5,0.12,2.513466667,65.47082066
ALFFIVE_16_Ni_i,8.32395,0.623584,1962.4,3146.97,1.01731,0.63438,69.90009188,3.609987902,6.270473777,10.63097566,66,3.846153846,0.094736842,2.474315789,84.24962925
ALFFIVE_16_Zn_i,8.41211,0.617066,1970.52,3193.37,1.03504,0.63869,69.3808542,3.583171889,6.223894922,10.55200576,66,3.846153846,0.094736842,2.491684211,85.38499878
ALFFIVE_18_Cd,3.74915,1.23635,457.896,370.361,0.246209,0.3044,39.06765851,4.590149004,18.22398444,15.44849256,4,10,0.206349206,2.489206349,20.49693829
ALFFIVE_2_Cd,10.99763,0.589861,1799.85,3051.31,1.21525,0.71683,48.46385856,2.711490546,9.41960518,15.97002028,13.5,8.333333333,0.176470588,2.518823529,96.64572484
ALFFIVE_2_Cd_i,4.07171,1.17841,524.659,445.225,0.325786,0.38391,48.46385856,2.711490546,9.41960518,15.97002028,26,8.333333333,0.176470588,2.518823529,25.51325019
ALFFIVE_2_Co,10.23877,0.610852,1935.45,3168.45,1.13794,0.69511,53.25155868,2.979356209,10.35015933,17.54768392,13.5,8.333333333,0.176470588,2.518823529,94.92541912
